userId,movieId,rating,timestamp,friendId
1,1,4,964982703,422
1,3,4,964981247,123
1,6,4,964982224,61
1,47,5,964983815,36
1,50,5,964982931,479
1,70,3,964982400,106
1,101,5,964980868,585
1,110,4,964982176,342
1,151,5,964984041,35
1,157,5,964984100,126
1,163,5,964983650,478
1,216,5,964981208,44
1,223,3,964980985,547
1,231,5,964981179,119
1,235,4,964980908,522
1,260,5,964981680,27
1,296,3,964982967,515
1,316,3,964982310,183
1,333,5,964981179,404
1,349,4,964982563,21
1,356,4,964980962,364
1,362,5,964982588,2
1,367,4,964981710,297
1,423,3,964982363,92
1,441,4,964980868,390
1,457,5,964981909,261
1,480,4,964982346,287
1,500,3,964981208,65
1,527,5,964984002,600
1,543,4,964981179,256
1,552,4,964982653,407
1,553,5,964984153,429
1,590,4,964982546,478
1,592,4,964982271,24
1,593,4,964983793,51
1,596,5,964982838,346
1,608,5,964982931,438
1,648,3,964982563,532
1,661,5,964982838,198
1,673,3,964981775,586
1,733,4,964982400,363
1,736,3,964982653,58
1,780,3,964984086,202
1,804,4,964980499,518
1,919,5,964982475,533
1,923,5,964981529,15
1,940,5,964982176,158
1,943,4,964983614,448
1,954,5,964983219,475
1,1009,3,964981775,610
1,1023,5,964982681,228
1,1024,5,964982876,195
1,1025,5,964982791,110
1,1029,5,964982855,143
1,1030,3,964982903,228
1,1031,5,964982653,156
1,1032,5,964982791,542
1,1042,4,964981179,76
1,1049,5,964982400,79
1,1060,4,964980924,63
1,1073,5,964981680,484
1,1080,5,964981327,55
1,1089,5,964982951,161
1,1090,4,964984018,582
1,1092,5,964983484,562
1,1097,5,964981680,554
1,1127,4,964982513,118
1,1136,5,964981327,180
1,1196,5,964981827,282
1,1197,5,964981872,399
1,1198,5,964981827,209
1,1206,5,964983737,165
1,1208,4,964983250,302
1,1210,5,964980499,46
1,1213,5,964982951,199
1,1214,4,964981855,37
1,1219,2,964983393,41
1,1220,5,964981909,242
1,1222,5,964981909,477
1,1224,5,964984018,343
1,1226,5,964983618,105
1,1240,5,964983723,172
1,1256,5,964981442,61
1,1258,3,964983414,278
1,1265,4,964983599,486
1,1270,5,964983705,368
1,1275,5,964982290,533
1,1278,5,964983414,488
1,1282,5,964982703,311
1,1291,5,964981909,527
1,1298,5,964984086,258
1,1348,4,964983393,225
1,1377,3,964982653,520
1,1396,3,964983017,436
1,1408,3,964982310,89
1,1445,3,964984112,307
1,1473,4,964980875,437
1,1500,4,964980985,185
1,1517,5,964981107,346
1,1552,4,964982620,425
1,1573,5,964982290,166
1,1580,3,964981125,494
1,1587,5,964982346,415
1,1617,5,964982951,95
1,1620,4,964983056,101
1,1625,5,964983504,608
1,1644,3,964983536,4
1,1676,3,964982620,207
1,1732,5,964981125,465
1,1777,4,964981230,190
1,1793,4,964981404,4
1,1804,5,964983034,32
1,1805,4,964983056,40
1,1920,4,964981780,136
1,1927,5,964981497,66
1,1954,5,964982176,227
1,1967,4,964981710,530
1,2000,4,964982211,2
1,2005,5,964981710,549
1,2012,4,964984176,570
1,2018,5,964980523,491
1,2028,4,964981888,288
1,2033,5,964982903,482
1,2046,4,964982563,40
1,2048,5,964982791,183
1,2054,4,964981747,513
1,2058,5,964982400,151
1,2078,5,964982838,7
1,2090,5,964982838,379
